"id","email","phone","activity_ids","country_id","name","country_id/name"
"__export__.res_partner_10_4437ff2f","cruiz.dev@ejemplo.com","'+34 699 111 222","","España","Carlos Ruiz","España"
"__export__.res_partner_9_fc476db9","ventas@delsur.es","'+34 677 888 999","","España","Distribuciones del Sur","España"
"__export__.res_partner_16_887ff20a","etorres.design@ejemplo.com","'+34 633 222 111","","España","Elena Torres","España"
"__export__.res_partner_11_bc7327b9","logistica@global.es","'+34 622 333 444","","España","Global Logistics S.L.","España"
"__export__.res_partner_15_06b24f9c","dev@innovaciones.es","'+34 698 765 432","","España","Innovaciones Web","España"
"__export__.res_partner_12_84ac4450","laura.gomez@ejemplo.com","'+34 655 444 333","","España","Laura Gómez","España"
"__export__.res_partner_8_85e5f553","maria.fernandez@ejemplo.com","'+34 644 555 666","","España","María Fernández","España"
"__export__.res_partner_14_07cf6f88","psanchez@ejemplo.com","'+34 612 345 678","","España","Pedro Sánchez","España"
"__export__.res_partner_6_3866f9f9","qwe@gmail.com","'+341231212312","","","Qwq",""
"__export__.res_partner_13_0bbaf5f8","contacto@sistemas.es","'+34 688 777 666","","España","Sistemas Avanzados","España"
"__export__.res_partner_7_267df440","info@techsolutions.es","'+34 611 222 333","","España","Tech Solutions Ibérica","España"
